Date,Open,High,Low,Close,Adj Close,Volume
"Jul 27, 2020","1,435.00","1,547.94","1,413.00","1,539.60","1,539.60","16,048,700"
"Jul 24, 2020","1,416.01","1,465.00","1,366.54","1,417.00","1,417.00","19,396,600"
"Jul 23, 2020","1,678.95","1,689.00","1,480.77","1,513.07","1,513.07","24,328,500"
"Jul 22, 2020","1,599.00","1,626.42","1,562.00","1,592.33","1,592.33","14,161,100"
"Jul 21, 2020","1,639.93","1,675.00","1,558.00","1,568.36","1,568.36","16,157,300"
"Jul 20, 2020","1,519.01","1,650.00","1,488.00","1,643.00","1,643.00","17,121,400"
"Jul 17, 2020","1,513.45","1,537.51","1,490.00","1,500.84","1,500.84","9,330,000"
"Jul 16, 2020","1,477.16","1,531.71","1,466.00","1,500.64","1,500.64","14,300,800"
"Jul 15, 2020","1,543.00","1,550.00","1,457.00","1,546.01","1,546.01","16,367,800"
"Jul 14, 2020","1,556.00","1,590.00","1,431.00","1,516.80","1,516.80","23,418,100"
"Jul 13, 2020","1,659.00","1,794.99","1,471.11","1,497.06","1,497.06","38,985,400"
"Jul 10, 2020","1,396.00","1,548.92","1,376.01","1,544.65","1,544.65","23,337,600"
"Jul 09, 2020","1,396.99","1,408.56","1,351.28","1,394.28","1,394.28","11,717,600"
"Jul 08, 2020","1,405.00","1,417.26","1,311.34","1,365.88","1,365.88","16,311,300"
"Jul 07, 2020","1,405.01","1,429.50","1,336.71","1,389.86","1,389.86","21,489,700"
"Jul 06, 2020","1,276.69","1,377.79","1,266.04","1,371.58","1,371.58","20,569,900"
"Jul 02, 2020","1,221.48","1,228.00","1,185.60","1,208.66","1,208.66","17,250,100"
"Jul 01, 2020","1,083.00","1,135.33","1,080.50","1,119.63","1,119.63","13,326,900"
"Jun 30, 2020","1,006.50","1,087.69","1,003.73","1,079.81","1,079.81","16,918,500"
"Jun 29, 2020",969.01,"1,010.00",948.52,"1,009.35","1,009.35","9,026,400"
"Jun 26, 2020",994.78,995.00,954.87,959.74,959.74,"8,854,900"
"Jun 25, 2020",954.27,985.98,937.15,985.98,985.98,"9,254,500"
"Jun 24, 2020",994.11,"1,000.88",953.14,960.85,960.85,"10,959,600"
"Jun 23, 2020",998.88,"1,012.00",994.01,"1,001.78","1,001.78","6,365,300"
"Jun 22, 2020",999.95,"1,008.88",990.02,994.32,994.32,"6,362,400"
"Jun 19, 2020","1,012.78","1,015.97",991.34,"1,000.90","1,000.90","8,679,700"
"Jun 18, 2020","1,003.00","1,019.20",994.47,"1,003.96","1,003.96","9,751,900"
"Jun 17, 2020",987.71,"1,005.00",982.57,991.79,991.79,"9,869,400"
"Jun 16, 2020","1,011.85","1,012.88",962.39,982.13,982.13,"14,051,100"
"Jun 15, 2020",917.79,998.84,908.50,990.90,990.90,"15,697,200"
"Jun 12, 2020",980.00,987.98,912.60,935.28,935.28,"16,730,200"
"Jun 11, 2020",990.20,"1,018.96",972.00,972.84,972.84,"15,916,500"
"Jun 10, 2020",991.88,"1,027.48",982.50,"1,025.05","1,025.05","18,563,400"
"Jun 09, 2020",940.01,954.44,923.93,940.67,940.67,"11,388,200"
"Jun 08, 2020",919.00,950.00,909.16,949.92,949.92,"14,174,700"
"Jun 05, 2020",877.84,886.52,866.20,885.66,885.66,"7,811,900"
"Jun 04, 2020",889.88,895.75,858.44,864.38,864.38,"8,887,700"
"Jun 03, 2020",888.12,897.94,880.10,882.96,882.96,"7,949,500"
"Jun 02, 2020",894.70,908.66,871.00,881.56,881.56,"13,565,600"
"Jun 01, 2020",858.00,899.00,854.10,898.10,898.10,"14,939,500"
"May 29, 2020",808.75,835.00,804.21,835.00,835.00,"11,812,500"
"May 28, 2020",813.51,824.75,801.69,805.81,805.81,"7,255,600"
"May 27, 2020",820.86,827.71,785.00,820.23,820.23,"11,549,500"
"May 26, 2020",834.50,834.60,815.71,818.87,818.87,"8,089,700"
"May 22, 2020",822.17,831.78,812.00,816.88,816.88,"9,987,500"
"May 21, 2020",816.00,832.50,796.00,827.60,827.60,"12,254,600"
"May 20, 2020",820.50,826.00,811.80,815.56,815.56,"7,309,300"
"May 19, 2020",815.17,822.07,806.08,808.01,808.01,"9,636,500"
"May 18, 2020",827.78,834.72,803.88,813.63,813.63,"11,698,100"
"May 15, 2020",790.35,805.05,786.55,799.17,799.17,"10,518,400"
"May 14, 2020",780.00,803.36,764.00,803.33,803.33,"13,682,200"
"May 13, 2020",820.83,826.00,763.30,790.96,790.96,"19,065,500"
"May 12, 2020",827.00,843.29,808.00,809.41,809.41,"15,906,900"
"May 11, 2020",790.51,824.00,785.00,811.29,811.29,"16,519,600"
"May 08, 2020",793.77,824.00,787.01,819.42,819.42,"16,130,100"
"May 07, 2020",777.21,796.40,772.35,780.04,780.04,"11,527,700"
"May 06, 2020",776.50,789.80,761.11,782.58,782.58,"11,123,200"
"May 05, 2020",789.79,798.92,762.18,768.21,768.21,"16,991,700"
"May 04, 2020",701.00,762.00,698.00,761.19,761.19,"19,237,100"
"May 01, 2020",755.00,772.77,683.04,701.32,701.32,"32,531,800"
"Apr 30, 2020",855.19,869.82,763.50,781.88,781.88,"28,400,100"
"Apr 29, 2020",790.17,803.20,783.16,800.51,800.51,"16,216,000"
"Apr 28, 2020",795.64,805.00,756.69,769.12,769.12,"15,222,000"
"Apr 27, 2020",737.61,799.49,735.00,798.75,798.75,"20,681,400"
"Apr 24, 2020",710.81,730.73,698.18,725.15,725.15,"13,237,600"
"Apr 23, 2020",727.60,734.00,703.13,705.63,705.63,"13,236,700"
"Apr 22, 2020",703.98,734.00,688.71,732.11,732.11,"14,224,800"
"Apr 21, 2020",730.12,753.33,673.79,686.72,686.72,"20,209,100"
"Apr 20, 2020",732.70,765.57,712.21,746.36,746.36,"14,746,600"
"Apr 17, 2020",772.28,774.95,747.66,753.89,753.89,"13,128,200"
"Apr 16, 2020",716.94,759.45,706.72,745.21,745.21,"20,657,900"
"Apr 15, 2020",742.00,753.13,710.00,729.83,729.83,"23,577,000"
"Apr 14, 2020",698.97,741.88,692.43,709.89,709.89,"30,576,500"
"Apr 13, 2020",590.16,652.00,580.53,650.95,650.95,"22,475,400"
"Apr 09, 2020",562.09,575.18,557.11,573.00,573.00,"13,650,000"
"Apr 08, 2020",554.20,557.21,533.33,548.84,548.84,"12,656,000"
"Apr 07, 2020",545.00,565.00,532.34,545.45,545.45,"17,919,800"
"Apr 06, 2020",511.20,521.00,497.96,516.24,516.24,"14,901,800"
"Apr 03, 2020",509.50,515.49,468.39,480.01,480.01,"22,562,100"
"Apr 02, 2020",481.03,494.26,446.40,454.47,454.47,"19,858,400"
"Apr 01, 2020",504.00,513.95,475.10,481.56,481.56,"13,353,200"
"Mar 31, 2020",501.25,542.96,497.00,524.00,524.00,"17,771,500"
"Mar 30, 2020",510.26,516.65,491.23,502.13,502.13,"11,998,100"
"Mar 27, 2020",505.00,525.80,494.03,514.36,514.36,"14,377,400"
"Mar 26, 2020",547.39,560.00,512.25,528.16,528.16,"17,380,700"
"Mar 25, 2020",545.25,557.00,511.11,539.25,539.25,"21,222,700"
"Mar 24, 2020",477.30,513.69,474.00,505.00,505.00,"22,895,200"
"Mar 23, 2020",433.60,442.00,410.50,434.29,434.29,"16,454,500"
"Mar 20, 2020",438.20,477.00,425.79,427.53,427.53,"28,285,500"
"Mar 19, 2020",374.70,452.00,358.46,427.64,427.64,"30,195,500"
"Mar 18, 2020",389.00,404.86,350.51,361.22,361.22,"23,786,200"
"Mar 17, 2020",440.01,471.85,396.00,430.20,430.20,"23,994,600"
"Mar 16, 2020",469.50,494.87,442.17,445.07,445.07,"20,489,500"
"Mar 13, 2020",595.00,607.57,502.00,546.62,546.62,"22,640,300"
"Mar 12, 2020",580.89,594.50,546.25,560.55,560.55,"18,909,100"
"Mar 11, 2020",640.20,653.58,613.00,634.23,634.23,"13,322,500"
"Mar 10, 2020",659.43,668.00,608.00,645.33,645.33,"15,594,400"
"Mar 09, 2020",605.39,663.00,605.00,608.00,608.00,"17,073,700"
"Mar 06, 2020",690.00,707.00,684.27,703.48,703.48,"12,662,900"
"Mar 05, 2020",723.77,745.75,718.07,724.54,724.54,"10,852,700"
"Mar 04, 2020",763.96,766.52,724.73,749.50,749.50,"15,049,000"
"Mar 03, 2020",805.00,806.98,716.11,745.51,745.51,"25,784,000"
"Mar 02, 2020",711.26,743.69,686.67,743.62,743.62,"20,195,000"
"Feb 28, 2020",629.70,690.52,611.52,667.99,667.99,"24,564,200"
"Feb 27, 2020",730.00,739.77,669.00,679.00,679.00,"24,149,300"
"Feb 26, 2020",782.50,813.31,776.11,778.80,778.80,"14,085,500"
"Feb 25, 2020",849.00,856.60,787.00,799.91,799.91,"17,290,500"
"Feb 24, 2020",839.00,863.50,822.20,833.79,833.79,"15,192,200"
"Feb 21, 2020",906.98,913.06,880.45,901.00,901.00,"14,314,800"
"Feb 20, 2020",911.95,912.00,859.94,899.41,899.41,"17,634,900"
"Feb 19, 2020",923.50,944.78,901.02,917.42,917.42,"25,423,000"
"Feb 18, 2020",841.60,860.00,832.36,858.40,858.40,"16,381,700"
"Feb 14, 2020",787.22,812.97,785.50,800.03,800.03,"15,693,700"
"Feb 13, 2020",741.84,818.00,735.00,804.00,804.00,"26,289,300"
"Feb 12, 2020",777.87,789.75,763.37,767.29,767.29,"12,022,500"
"Feb 11, 2020",768.79,783.51,758.00,774.38,774.38,"11,697,500"
"Feb 10, 2020",800.00,819.99,752.40,771.28,771.28,"24,689,200"
"Feb 07, 2020",730.55,769.75,730.00,748.07,748.07,"17,063,500"
"Feb 06, 2020",699.92,795.83,687.00,748.96,748.96,"39,880,800"
"Feb 05, 2020",823.26,845.98,704.11,734.70,734.70,"48,423,800"
"Feb 04, 2020",882.96,968.99,833.88,887.06,887.06,"60,938,800"
"Feb 03, 2020",673.69,786.14,673.52,780.00,780.00,"47,233,500"
"Jan 31, 2020",640.00,653.00,632.52,650.57,650.57,"15,719,300"
"Jan 30, 2020",632.42,650.88,618.00,640.81,640.81,"29,005,700"
"Jan 29, 2020",575.69,589.80,567.43,580.99,580.99,"17,801,500"
"Jan 28, 2020",568.49,576.81,558.08,566.90,566.90,"11,788,500"
"Jan 27, 2020",541.99,564.44,539.28,558.02,558.02,"13,608,100"
